no,职位,公司名,薪资,经验,学历,位置,关键词,描述,详细位置,详情页
2,大数据开发,鹿游网络科技有限公司,200-250元/天,3天/周,3个月,上海·闵行区·虹桥,"大数据开发经验,计算机相关专业,数学/统计相关专业","['1、日常配合客服查询相关Log', '2、clickhouse, doris监控，问题发现上报']",上海闵行区华纳商务中心D106,https://www.zhipin.com/job_detail/c55341b19f7ab59f1X173NW_ElRY.html?lid=EOKPy1wZZP.search.62&securityId=ArHB7tVi0NyGF-M1jKEVLMaqQOcV7NufiOiSLaNTq3xOZpmXnXWAXKoGzH4BG8aK2ThTLUbyDuZE1PYYDnKzvsBjgZxfK1GrxxJYcfj10SO9KCHfVgo~&sessionId=
3,大数据专家,碧桂园服务集团,20-30K·17薪,5-10年,本科,上海·浦东新区·碧云,数据分析,"['岗位职责：', '1、负责集团各关键业务数据分析工作，搭建全面、准确、客观的指标体系和监控框架，提供全面的商业洞察，并指导落地增长策略；', '2、主导数据域规划，关键数据识别，数据模型设计；', '3、负责现有各数据平台的功能整合，搭建关键数据应用场景主线，负责数据应用平台的总体设计、内容规划；', '4、基于数据专题，对数据问题进行深入拆解分析，沉淀分析思路与框架， 提炼数据产品需求，指导大数据产品实施团队数据产品的落地；', '5、负责集团全域数据资产管理，包括数据资产分类、内容、管理工具落地。', '任职要求：', '1、本科以上学历，统计、数学、计算机技术专业，7年以上的数据应用与数据分析相关经验优先；', '2、有良好的数据建模能力和业务拆解能力，具备数据可视化能力，独立产出数据分析报告，熟悉常用的数据挖掘/机器学习算法；', '3、良好的逻辑分析能力和数据敏感度，能够从海量数据中提炼核心结果，及时发现和分析业务背后隐含的变化或问题；', '4、跨团队沟通能力突出，具备业务、用户以及业务系统项目组的沟通能力；', '5、熟练掌握至少两项企业内部经营管理或者营销领域的业务流程，例如财务运营、客户画像、客户运营、精准营销等。']",上海浦东新区新金桥大厦401,https://www.zhipin.com/job_detail/6a974505db46858d1X1z29m7F1NZ.html?lid=EOKPy1wZZP.search.63&securityId=Eitmqqp6zn1xl-61Vmm3r_KI3dadNa5n7nBudK_Xc1tCbncuixgaO-RifJqEswCX0wZTNMWG_FQ-3dFJHshXbvx4MCQjVU2tJYJybw9QFd9SyW3-hho~&sessionId=
4,大数据开发,天阳科技,14-16K,3-5年,本科,上海·浦东新区·曹路,大数据平台架构经验,"['中级大数据 （偏flink实时）', '统本，2年+，计算机相关专业优先，有银行金融经验，会Flink、Hadoop、Java或Scala，熟悉大数据数据处理相关组件的部署、使用及开发。', '地址：上海市浦东新区锦绣东路4518号']",上海浦东新区上海银行(数据处理中心)101,https://www.zhipin.com/job_detail/82e57c33adc079941HV73N68FVJX.html?lid=EOKPy1wZZP.search.64&securityId=ANCzxmnAxp_HT-E1Th7lohP3OIo0lQmljx0TZcX_LgYmVWt0MDSPPhpY21aDG_A29uKIhIVxfd9HM-3YoyPDBnO9xXXr59pXYI6DJcnUITU2BoLzgIb1cFJ91gu-JTWPtHP8p2M1W3d9XAFbOhiI&sessionId=
5,大数据讲师,锐格软件,120-150元/时,经验不限,本科,上海·虹口区·四川北路,"Java,Spark,Hbase,计算机相关专业,大数据开发经验,数仓建设经验","['工作日期：周二四五', '工作时间：不限', '结算方式：周结', '工作内容：', '到上海或苏州高校帮助讲大数据课程，包括hadoop、spark和数据仓库', '工作要求：', '有过大数据相关上课经历；', '时间灵活.']",上海虹口区星荟中心Wework三楼186,https://www.zhipin.com/job_detail/817827d204c514e61XBy2Ny0FFVQ.html?lid=EOKPy1wZZP.search.65&securityId=b1EsGO-xA9Kj9-31sxqulXRaS3QDdOxuRmeey5xmOy9_CSrt3VjiSeon2kwXq8la9_kirKRrJuz_1eErQz-HFSs0mufv1Jz49Pceao6_JkCx2fI~&sessionId=
6,大数据专家,菜鸟网络,30-55K·16薪,5-10年,本科,上海,"数仓设计/开发经验,数据建模经验,金融行业数据相关经验","['1、 负责数据仓库逻辑模型和物理模型设计；', '2、 参与数据产品设计和评审，保障数据架构稳定；', '3、 负责生产系统数据源调研和接口分析；', '4、 指导和协助团队内其他成员，共同建立起商业智能分析工作的流程、规范和方法；', '5、 完成公司安排的其他数据相关工作和任务；', '任职资格', '1.本科以上学历，有7年左右DW/BI项目实施和开发经验，5年以上数仓模型设计经验；', '2. 熟悉数据仓库各类建模理论，以及数据仓库数据层级关系，精通3NF和多维数据模型设计，具备大型数据仓库架构设计、模型设计和处理性能调优等相关经验；', '3.至少熟练使用Shell、Python等脚本语言之一；', '4.优秀的协调沟通与团队协作能力，愿意专注于技术研发；', '5.有元数据管理、数据质量管理、主数据管理经验者优先；', '6.精通Spark、Hive的编程模型并熟练使用，精通SQL，有较好的SQL性能调优经验；']",上海嘉定区菜鸟网络(上海嘉定园区)b2,https://www.zhipin.com/job_detail/18ff6161eade64ea1XBy39S0EltW.html?lid=EOKPy1wZZP.search.66&securityId=B4_YMnC0m0CsN-o1k6s9LfITgPhdyTeKxqqTR-KDwpOR6NN47VCPziujWjQ6IJgmF-lPX7N9uPsP3Z2FNL6Gu5AH4x8_DPqQOrroClwd9USAhBU~&sessionId=
7,大数据SRE,北京字节跳动,30-50K,3-5年,本科,上海·闵行区·合川路,"Golang,Java,SRE,运维开发/DevOps,分布式技术,自动化运维,Python/Shell,运维经验,Shell,大数据运维经验,运维开发经验,hadoop,Kubernetes,Python",,,https://www.zhipin.com/job_detail/15d795ae18ea66271nx43d27FlNS.html?lid=EOKPy1wZZP.search.67&securityId=EGv2ZCWWtCBOo-M1Eq87_V0vA1bxTYZVFWR27GRFe-6fU-EDuua_GyB2j8Wl4Y0z1ScZFpPvILPbEwBLw_SPNi-7W7fjETuLuUz5oQyK3x3FLuGR&sessionId=
8,大数据开发,谷武0,18-30K·13薪,3-5年,本科,上海·静安区·南京西路,"Java,SQL,Flink,计算机相关专业,大数据开发经验,数仓建设经验,搜索推荐,实时/离线业务,数据接口","['技术部内部职位，非派遣', '工作地点:浦东张江高科', '预计到岗时间：22年12月', '岗位要求：', '1、负责数据处理开发工作。', '2、通过对数据仓库模型优化、处理过程优化、大数据平台参数调整，优化计算任务性能，提升资源利用效率;', '3、负责大数据平台系统开发工作，如任务调度系统、元数据管理、数据监控系统等。', '4、负责数据服务接口开发工作。', '职位要求：', '1、本科及以上，计算机或数据领域相关专业，flink工作经验3年以上', '2、有flink集群的高可用规划和设计经验', '3、精通java/scala，具备flink大型实际项目经验、精通flink原理', '4、熟悉相关流式数据湖平台，熟悉hadoop生态。', '5、精通SQL编写与调优。', '6、熟悉shell/python优先。', '7、有数据接口开发能力优先。', '大数据开发工程师/中级、高级、资深均可']",上海静安区科恩国际中心,https://www.zhipin.com/job_detail/24ffac199ec62a9e1Xd_29y9F1BX.html?lid=EOKPy1wZZP.search.68&securityId=-8emboPwAO6dP-D1-PCqDQ_slw4CSiFgJzqEiQV4p4nC4z4yQRv8tPNmdnyM-R6lbUWCEgxzxOgTrWwHx1HxF5unLzUH0em-rN8telVzKsKG_TOJHY-58LNpJJh12E_0u06qdonYcXjG1RfNk_4eLQ~~&sessionId=
9,大数据开发,新致软件,13-22K,3-5年,本科,上海·浦东新区·金桥,保险银行经验,"['1.熟悉hadoop、spark、Flink等主流大数据框架，有实际项目经验优先。', '2.熟悉hbase、hive、mpp、mysql、oracle等数据库技术，有实际项目开发经历，了解ETL流程;', '从事大数据数据资产研发测试及', '3.熟练掌握SQL的使用，具有SQL、hive性能优化经验;相关的数据探索和挖掘(hive、MPPDB)', '4.熟悉Linux系统下基本命令，能编写SHELL、perl、java;', '5主要负责基于大数据平台的指标等加工开发工作:个人素质方面:做事认真，责任心强，积极主动，勇于担当，热爱开发工作']",上海浦东新区工行金桥科技大楼云桥路875号,https://www.zhipin.com/job_detail/8ea382c4266e06e81XN539y_FFRW.html?lid=EOKPy1wZZP.search.69&securityId=2CaRlBnvZLy6P-O1pdIlQajTwAQ3OpL1sHFWPhQmi-bfcEO1ft7YM2tnBsKbbUMS_QINs3aW_4NbrK-uqp6t6s0OI3PN3Qcjcn13EulZI51dT4xNR7FFqAtRh6FRuaFFU2rEMpAbsBOKRpWcaUS6&sessionId=
10,大数据开发,联合永道,12-16K,3-5年,本科,上海·静安区·南京西路,大数据,['熟悉SQL语言，熟练掌握Hive、MPPDB等大数据开发技能，具备3年以上关系型、分布式数据设计和开发经验:熟悉常用ETL工具，比如sgoop和kettle。熟悉linux操作系统命令，有编写shell脚本和per脚本的能力有良好的学习能力、有较强的责任心和主动性，良好的团队协作能力、抗压能力。有银行系统开发经验者优先。'],上海星巴克(恒基688广场店)上海市静安区南京西路688号,https://www.zhipin.com/job_detail/5ca99c34c452f4421Xx93966EVNU.html?lid=EOKPy1wZZP.search.70&securityId=nXL6ft_Rdk2aM-R1bS5C__qUACNK-7t_x0PFB7xInZIUaiIOM3p4G0nVPrfjemm6YiwShl8yQW4ONoBejJWVagoud68ADZ46DaOaK_Ga7NpNfNZIYdxbAja0NMsnCuUosBEC3IIYt9x-MU2QV_ry&sessionId=
11,大数据开发,中电金信,16-22K,5-10年,本科,上海·虹口区·曲阳,"SQL,监管报送,银行",,,https://www.zhipin.com/job_detail/35a5354175f677331Xx629i-E1BV.html?lid=EOKPy1wZZP.search.71&securityId=iJtt9depEamdN--1za1PJOIuQ2_u38n-tUElntR01A4n2iZzy8o6EhU85HAkBG7HJANdsy_lTD0_6m5K081-0WcLf6NM7cZ4Lf4JCtQzMlsNTTPd_mMkKzKJ7FwL3JOwu6UMo8tIvfO77ppnXCD5EIk~&sessionId=
12,大数据开发,上海北境,12-15K,1-3年,本科,上海·浦东新区·张江,"Java,SQL",,,https://www.zhipin.com/job_detail/eb44e62dd736e0f31XN-09S6FFQ~.html?lid=EOKPy1wZZP.search.72&securityId=jPLoJR559uwIs-N1Edoiy8Jm0p4c9hf931qxs-uf0YRW0QHb2Mbz58phRDocsxujqeXqeZ03SL3X40d7sIzldIz2G-8P0wHyvZQJdu389PbSGI0~&sessionId=
13,大数据开发,舱数智造,5-6K,经验不限,本科,上海·浦东新区·康桥,"Java,Python,计算机相关专业","['1. 熟悉ETL开发流程，熟练使用大数据组件hive spark等等', '2. 了解hadoop以及相关组件如 hive spark hbase相关原理及架构', '3. 有良好的编程基础和规范，熟练使用如python java scala']",上海浦东新区明纶园19,https://www.zhipin.com/job_detail/ad704ac87343f77a1XF40tS4GFtR.html?lid=EOKPy1wZZP.search.73&securityId=ELGVJ2M7U4VT0-v1tYZ1occjeqj9E2hCvojdyOQdh1FodTLmP4MdKKVQKaWVT36JTcOQUt9aoac3EgLlCV9kdxuZePnpwecQeUiuFYKvL6KAErICiII~&sessionId=
14,大数据开发,Bespin Global China,15-22K,3-5年,大专,上海·徐汇区·徐家汇,"阿里云,dataworks,dataphin","['负责阿里云大数据项目的交付实施和数据运维工作', '1.2年以上大数据项目的ETL开发经验;', '2.熟悉Hadoop、Hive、Spark、Kafka等组件的使用', '3.熟悉阿里云大数据产品，有相关使用检验者优先，包括但不限于MaxCompute、Dataworks、Dataphin、ADB等', '4.具备python、java、scala的至少一种编程语言能力', '5.有阿里云项目交付经验者优先']",上海徐汇区港汇中心2座1506,https://www.zhipin.com/job_detail/9b94980ca2489d0a1X1709i6E1tX.html?lid=EOKPy1wZZP.search.74&securityId=eC2Lx8RW0N-rh-V1umzwo-dbOiZxngpJxfyrEuAq6yqgyUDudVnb11qEEiWdDWbWMAlfZMgh8r11WuWTr4ObqMqVk0x5rLu-DiqOVXZAJJZAoOUb&sessionId=
15,大数据开发,意视科技,10-15K,1-3年,本科,上海·徐汇区·漕河泾,"数据分析,数据处理,数据挖掘","['岗位职责：', '1、负责基于Spark技术的海量数据的处理、分析、统计、挖掘工作；', '2、基于Spark框架的数据仓库的设计，开发，维护；', '3、根据需求使用Spark Streaming和Spark SQL进行数据处理、查询、统计等工作。', '岗位要求：', '1、本科及以上学历，软件工程、计算机等相关专业，优秀硕士研究生优先考虑；', '2、熟悉RDD/DataFrame编程，对Spark体系结构、运行机制有深入研究，熟悉源码；', '3、熟悉Spark相关技术；', '4、熟悉linux、shell脚本或python脚本编程；', '5、熟悉Spark Streaming和Spark SQL，有过程序开发经验；', '6、具有良好的Trouble Shooting能力；', '7、能够用python开发数据算法，熟悉python算法库的优先；', '7、具有海量数据系统开发经验，且在开源社群活跃并有积极贡献者优先考虑。']",上海徐汇区星联科研大厦1号楼402,https://www.zhipin.com/job_detail/62457e880e7e4a610HVz2dy0Fw~~.html?lid=EOKPy1wZZP.search.75&securityId=b2YPwThcRX5kf-T1woeuhn2nSRXykACegU2z0ceiyx5XIN5OXpn0Wc7SL3AZhhIv5zNhhZCX7013TgjSAm4b2byInBUOYO1-ZccQbjiBWMkF&sessionId=
16,大数据测试,随训通电子,20-40K,3-5年,本科,上海·闵行区·虹桥,"数据,sql","['职位描述:', '1、负责字节跳动广告系统团队数据产品的测试；', '2、负责相关过程中测试效率类工具开发；', '3、跟进线上数据问题进行追踪及分析以及推动改进；', '4、较强的产品意识， 能在项目过程中提出并推送实施好的产品解决方案。', '职位要求:', '1、本科及以上学历，计算机相关专业毕业，2年以上工作经验；', '2、有良好的程序开发语言基础：Java/go/python；', '3、熟练使用hivesql/mysql；', '4、熟悉开源大数据生态技术：包括不限于Kafka/Spark/Flink/Druid/HBase/Doris 等；', '5、有数据仓库测试相关经验者优先；', '6、性格开朗， 善于沟通和事务推进，有团队管理经验者优先。']",上海闵行区字节跳动(虹桥国际商务广场)1,https://www.zhipin.com/job_detail/ff144117bf2a5cdf1XF_2d65EVBY.html?lid=EOKPy1wZZP.search.76&securityId=0jlRZjB2yohvl-x1jVwi0kmrKWW5_B1OOjPxz6Y3kwIaQnUYo79VcoWG7EYA6dIjOkgOjk5mR6YAO-W6X7aSxBSKQSrxEkA5lbjCP0Vec7_tgRvDOg~~&sessionId=
17,大数据经理,太平洋房地产,25-35K,3-5年,本科,上海·徐汇区·徐家汇,"Spark,Kafka,Hive,大数据平台架构经验,大数据处理经验,数仓建设经验","['岗位职责：', '1. 设计统筹和规划大数据离线、实时的技术方案；', '2. 维护大数据基础组件，为数据应用提供稳定可靠的服务；', '3. 规划数据仓库工作方向，定义主题数据库，数据公共层建设的设计、落实和规划；', '4. 负责规划建设核心资产体系，如指标体系、标签体系等；', '5. 辅助推进数据治理，建设数据质量、合规、安全、成本、资产管理等治理相关体系；', '任职要求：', '1. 计算机或相关专业本科及以上学历，五年以上工作经验；', '2. 精通离线、实时数据仓库实施理论，具备大型行业数据仓库架构设计、多维数据模型设计、以及海量数据处理和优化经验；', '3. 熟练使用Hadoop、Hive、spark，flink等大数据框架，具备丰富的性能调优经验，熟悉SQL、Java、Python等编程语言；', '4. 逻辑思维能力强，有较强的学习能力和创新思维，能够解决复杂的商业问题；', '5. 优秀的沟通能力和文字表达能力，有较强的团队管理能力。']",上海徐汇区海洋石油大厦(零陵路)17楼,https://www.zhipin.com/job_detail/c0df738acfd2bd1b1X1-2d21EFBX.html?lid=EOKPy1wZZP.search.77&securityId=bH8C0n5wSkFWI-a1lqnlimswL7bCabSic3xZxERKtWh-I26QERVbCMlERHvnEL4gXNmnjbKeGs8KXELJfcLzX38lyh-5MnKBPyu61D83pEn6NAFb4w~~&sessionId=
18,大数据测试,码寻信息科技有限公司,14-20K,1-3年,大专,上海·浦东新区·曹路,"SQL,Oracle,MySQL,hive","['1.2年以上测试工作经验，有保险金融系统报表测试经验者优先；', '2.了解Mysql、Oracle等任意一种关系型数据库,能够使用SQL进行数据测试增、删、改、查，及复杂逻辑SQL的编写和理解；', '3.有大批量数据测试经验，有HiveSql测试经验者优先；', '4、沟通要求：具备良好的沟通，表达能力，清晰的逻辑思维；', '5、勤奋好学，具有团队合作精神；']",上海浦东新区兴业银行(来安路)500号,https://www.zhipin.com/job_detail/54545cdf51c9af3b1nN-2dW1ElNY.html?lid=EOKPy1wZZP.search.78&securityId=uAFspDfFJjKCZ-v1elp7dICz8DAlLbSdCcu96C6iUCDbzO1pZ2zIKl5msROnb0Y_62hohedCr86fOhI4CHiRwDln1QsAB2PTN-CIVUVEI4bptP_tuJA~&sessionId=
19,大数据ETL开发（银行-本科学信）,量投科技,11-18K,5-10年,本科,上海·浦东新区·曹路,"Hive,大数据开发经验,金融行业数据相关经验",,,https://www.zhipin.com/job_detail/cd91930cdc658eed1HR43tu5F1FT.html?lid=EOKPy1wZZP.search.79&securityId=xWMBuX7ahyLTd-F1WTYiNxWCAwSnyyFxrCK7ymVqPlA43H6fSqPlxSZOmhXhAA74NJjeR1teCxzlXJ9_b4OJjYFNShnjAub6hqFrogV3B3dfBn97m80jukUOKOIRkTrJ2mc3ntRSuoYBNUjK118e81BG&sessionId=
20,大数据工程师,bilibili,35-60K·14薪,3-5年,本科,上海·杨浦区·五角场,"数仓建设经验,大数据开发经验","['跨团队招聘，请勿多次投递相同的岗位', '工作职责:', '1、负责数据的ETL设计、开发、优化，保证数据准确与稳定', '2、负责构建业务数据分析体系，帮助确定各项业务数据指标', '3、负责数据平台相关后端功能系统设计和开发', '工作要求:', '1、计算机或相关专业本科以上学历，至少3年以上数据开发实际工作经验', '2、负责过大型数据平台和数据仓库设计，具有扎实的大数据和数据仓库的理论功底', '3、熟悉数据分析建模原理和流程，能够围绕业务特征建模解决业务问题', '4、掌握python/go，掌握python/go WEB开发常规模式，熟悉微服务架构', '5、熟悉常用机器学习算法，包括但不限于RF、GBDT、XGboost、SVM、ANN等', '6、拥有优秀的分析及解决问题的能力，良好的沟通能力，思维逻辑清晰，有强烈的责任心，并能自我驱动成长']",上海杨浦区凯德·国正中心2号楼,https://www.zhipin.com/job_detail/7628dcec2bc3dfeb1XF50tS8EltR.html?lid=EOKPy1wZZP.search.80&securityId=9JORIKMi4fHLF-11puPTovBSUO2ILif6JxdhdHocXW37b7FppEhAMf21mGj0_PJFc2V0tmuRgpatXZQPmx9g-loifXBIXKUJ4H_vs-uGclloGec~&sessionId=
21,大数据工程师,旺脉科技,20-40K,3-5年,本科,上海,"计算机相关专业,大数据开发经验,数学/统计相关专业","['岗位职责:', '1.负责大数据平台开发：大数据计算、数据清洗、数据分析；', '2.负责大数据平台日常调度管理、监控、维护；', '3.参与大数据体系的建立完善，提升广告投放效率；', '4.参与广告数据仓库建设和设计，并根据业务需求变化和业务发展，配合优化算法模型。', '岗位要求：', '1.3年以上大数据开发相关工作经验；', '2.至少熟练掌握java/scala/python其中一门编程语言（至少有一定Java开发经验）；', '3.熟悉主流SQL数据库（MySql），缓存数据库（redis/aerospike）；', '4.熟悉大数据系统组件(如Hive、MapReduce、Spark、HBase等)，具备编写、优化复杂SQL的能力；', '5.掌握实时处理技术相关组件(如Kafka、Flink等)，具备编写优化能力；', '6.有扎实的数据仓库理论功底和丰富的数据治理实战经验，能够围绕业务和产品特性建模并解决实际问题；', '7.负责过大型数据平台或数据仓库设计优先。']",上海普陀区新曹杨科技大厦10楼1002,https://www.zhipin.com/job_detail/07a6707a03434b891X1y2tS_FlNY.html?lid=EOKPy1wZZP.search.81&securityId=cMFAElCnJOQVV-B1gtWMlQW1EQmR8Xm2MZsucYAmzDl4-CzJ89oH5_pA3WAjehWxlw8cuj8qzB0Oss_ClmdWl0PVJYg4Sr3VM2G8PNyzA-M3LG2qNtpQyxPvrHBdy49nax7wEuXm281dagX_-CCvgw~~&sessionId=
22,大数据工程师,安依兴科技,15-30K,3-5年,本科,上海·浦东新区·北蔡,"Java,HIVE,Spark,Kafka,Impala,Shell,Python",,,https://www.zhipin.com/job_detail/881fb9e870b1c7901XZ82Nu1FlpU.html?lid=EOKPy1wZZP.search.82&securityId=tlbSDLio0Cof1-i1tJG8B-gq94K-4laPFsuRC6urWGiyxAAOFaXzf0zk3KJl4_Vyssci8vbdzqJcJaCezpS6fGCMFn5ACyGYdNFAYTNA0V2gh2-WaFM~&sessionId=
23,大数据工程师,趣头条,20-30K,1-3年,本科,上海·浦东新区·三林,"Java,Spark,计算机相关专业,大数据开发经验,Hadoop",,,https://www.zhipin.com/job_detail/8b1cf3a7f79865851Xx52tS0F1ZQ.html?lid=EOKPy1wZZP.search.83&securityId=5HkxnwR5DNtCN-h17MiSE0DbABtJO09Dz-1hiHmugNMHuqjAHOjV1fnh1sYbMUTYGdzAbOzxdYglQ_FBHMWsrubEXSeI4LoyC8Gcrp1xm42q0EK0&sessionId=
24,数据算法经理（大数据）,龙颖科技,20-30K,1-3年,本科,上海·浦东新区·三林,"数据分析,数据挖掘,数据处理",,,https://www.zhipin.com/job_detail/cee012cfff0f8afc1nN73dS1FFFZ.html?lid=EOKPy1wZZP.search.84&securityId=-D4b648NTKbaQ-b1NlVCb91HgGjJhQKSdbbjC2t6yflBPTumpPEXC9EwCmqfpgGJ02GImF9zFSjhA_R4YYQjL4ecbVJqJivLb_h_5PkQNwhG-aQ64DE~&sessionId=
25,大数据工程师,PayPal,25-40K,3-5年,本科,上海·浦东新区·塘桥,"Hive,Hadoop,Spark,Hbase,Kafka,MapReduce,Java,Scala",,,https://www.zhipin.com/job_detail/bcc4483b38fb866b3nJy0t69EVM~.html?lid=EOKPy1wZZP.search.85&securityId=bTKoGUI1JcH4f-k18-__1FBceznorjYOFDPEP8dFCbnXXVjc1WMJE8Ic9NdHDSD4Gj0IISo-0TgnRNQxzTjPNfrYiI6xixIraexX5T3rQvqib-kk&sessionId=
26,大数据ETL开发工程师,翀远,10-15K·14薪,1-3年,本科,上海·浦东新区·张江,"Shell,SQL,Kettle,Spark,Sqoop,Azkaban","['岗位职责：', '1、配合项目团队完成数据仓库 / 数据集市的 ETL 设计开发；', '2、负责 ETL 的开发与优化工作，以及数据质量监控；', '3、根据客户的运营需求，为报表开发及业务部门提供技术支持。', '任职资格：', '1、本科或以上学历，计算机、数学或相关专业；', '2、有数据仓库开发、数据建模、ETL开发经验；', '3、精通 SQL，对 Hive、SparkSQL查询优化有丰富的经验；', '4、了解 Sqoop，Kettle，Azkaban，Airflow，Spark 等大数据生态技术优先；', '5、有linux平台经验，熟悉 Shell 命令；', '6、有较强的性能优化及问题排查、解决能力；', '7、对开源技术非常感兴趣并具有一定的研究能力；', '8、有强烈的责任心、良好的沟通协调能力、团队合作精神、优秀的执行能力；', '9、良好的语言沟通与表达能力和自我驱动动力，具备较强的逻辑思维能力，能承受工作压力。', '附加信息：', '\uf0b7工作时间：周末双休', '\uf0b7上下班时间：09:30-18:30', '面试信息：', '\uf0b7面试方式：到场面试', '\uf0b7面试轮数：3-4轮', '\uf0b7时间安排：一天内完成', '\uf0b7补充标签：包含笔试']",上海浦东新区上海传奇商业广场635号,https://www.zhipin.com/job_detail/2b457f5d9bc949841XR-2N64FFBR.html?lid=EOKPy1wZZP.search.86&securityId=FYBR0f9LrzpCu-R1_OQrAXiC5StVSBmjOACGgqPnTL0YnmesZNW5nlje5-0jmHZaDAm8TVzkZ7tG6UVhD_PBs6sFC4fj7fTNDKEPMSc7Cq4HrOiUtPA~&sessionId=
27,ETL工程师-大数据-区块链,凤虎宙思,20-40K,1-3年,学历不限,上海·长宁区·周家桥,"ETL,sql,数据仓库","['职位描述:', '搭建和持续优化基于云服务的大数据处理平台, 建立数据工程管道(data pipeline)，处理、集群、可视化和分析比特币交易数据 (>5 billion TX,  4000万以上的钱包)', '负责数据对接', '算法模型的工程化实施', '职位要求:', '- 具有1-3年或以上的大数据研发/架构开发经验', '熟悉SQL', ' 熟悉大数据计算领域研发,有TB级及以上大规模数据处理经验者优先', '- 具有SRE工具的经验：GCP或AWS 设置，服务器性能提升和成本优化经验', '- 良好的英文听，写能力', '加分项:', '-具有大数据算法优化经验（动态规划）', '- 扎实的数学基础，对图形数据库，graph theory, 动态规划有很好的理解', '- 调度和自动化工具的处理经验（Airflow，Kafka，..）', '-了解比特币UTXO交易模式', '- 良好的英语口语表达能力', '薪资待遇', '薪资范围20’000-40’000人民币/月，具体取决于经验（以及长期聘用的股权激励）', '公司介绍:', 'Blockdynamics是一家位于上海和香港的区块链大数据分析公司。 我们利用数据科学分析加密货币公链网络。为交易所提供反洗钱合规工具，给监管机构提供市场监管手段, 帮助区块链项目了解市场动态，也为DApp开发人员了解他们钱包的使用情况。我们的目标是为整个区块链社区提供最前沿的研究和见解。', 'Job Description - Shanghai', 'Bitcoin Transaction Data Engineering and Tracing ', 'We are looking for a skilled software engineer or data engineer that has an interest in the Bitcoin, Ethereum, or EOS ecosystem.  Your first task would be to set up a data engineering pipeline that allows us to process, cluster, visualize and analyze the entire bitcoin transaction data (>500M tx, 40M+ wallets). The process will involve caching the graph in adequate DB structure and updating connected edges using dynamic programming (other approaches are welcome, too). ', '(Required) You need to have a good understanding of: ', '- how to handle large amounts of data (e.g. lookup on >200GB files)', '- Good experience at optimizing runtime for handling large transaction tables (know the impact of Key-Value store, SQL, C++ mempool, etc) ', '- Have experience with SRE tooling: GCP or AWS setup, server optimization on performance and costs', '- Have a good understanding of graph representations, and have handled graphs before', '- Understand written English ', '(Preferred):', '- Have experience in algorithmic optimization to handle large batch processing tasks (for example, dynamic programming for propagation of tasks)', '- Exp. in Scheduling and Automation Tools (Airflow, Kafka, ..)', '- Have an understanding of the Bitcoin UTXO transaction model', '- Speak English', ""The work engagement would start immediately, half to full time, salary range 30-60k RMB / month (including potential equity payout for long-term engagements). Moreover, you'll be able to work with an ambitious startup team that aims to analyze, classify and make sense of the tremendous activity of blockchain networks!"", 'About us: Blockdynamics is a Shanghai and Hong Kong-based blockchain strategy and engineering startup. We leverage graph analytics to offer insights into the cryptocurrency networks. We provide crypto exchanges with the tools for anti-money laundering compliance, and regulators with the means for market oversight. We also help coin issuers understand the market dynamics underlying their token, and DApp developers the usage of their wallets. With this data-driven approach, we aim to provide cutting edge research and insights into the blockchain community as a whole.']",上海长宁区长宁来福士广场写字楼1座,https://www.zhipin.com/job_detail/5a9f568ec6f44f6f0nV-3t21ElI~.html?lid=EOKPy1wZZP.search.87&securityId=IxvQjmSKVb5vO-q17NlfalL8kWCZeWHmAPQC0zezSR_K4v6Bcuf1sEBY7xc6f28P09fPSZP18-PtqtbcitJMR0f1U-ls_KQ__Y7mIW5dAUdB5uck&sessionId=
28,大数据etl开发工程师,迅策科技,6-8K,1年以内,本科,上海·浦东新区·陆家嘴,"估值、资讯,资管行业","['工作职责：', '1、应用系统部署：', '根据实施规范完成大数据平台、数据管控平台的部署落地和功能验证；', '2、数据治理：', '完成客户业务数据清洗；', '根据管控平台输出的质量稽核结果进行异常处理；', '在自研及客户自有调度系统上进行跑批任务调度配置。', '3、投研应用及指标验证：', '根据功能设计、指标算法文档及客户实际业务场景，完成投研应用场景、指标准确性验证。', '任职资格：', '1、熟悉金融资管行业业务知识体系；', '2、了解数据仓库体系；', '3、了解证券期货行业数据模型；', '4、了解CDH、TDH等常用大数据框架和关键组件；', '5、熟悉Oracle、MySQL等常见数据库，熟练编写SQL语句、存储过程等；', '6、良好的沟通表达能力和团队协作能力。']",上海浦东新区新梅联合广场B座1号,https://www.zhipin.com/job_detail/ea32c6f357e241d01X162du7FlFQ.html?lid=EOKPy1wZZP.search.88&securityId=lk0mfB9pzPJwO-61E-igNZeBE4WcJaiuF5Dx6C9Lj0J6sYsPApxYgRvL7S_A18JTU4IkgblkAU9Tnc8RXxHAI0cgf5H3D9UVFIk-gqeDgDZirVeAm7H1o1PUNkCdGT4RlYmUlzUVB3k4aLa-j2Dx&sessionId=
29,大数据总监,河姆渡,20-40K,5-10年,本科,上海·浦东新区·航头,"Shell,Spark,Flink",,,https://www.zhipin.com/job_detail/8fdf552208fe964a1Xd-2ty_FltT.html?lid=EOKPy1wZZP.search.89&securityId=KB0ptr6NyVFMO-T13GHYyOYs5z9DkDRha7Oh2BWF5OtS-UqQ2I9Hcn_UW4UX8t3KDT4bGEmvM3LGoEz08dRC1xePk4-YhV_NuOilAg7FMvOBbc8~&sessionId=
